Month,Boohoo,Charity Shop,Search_Type
2013-05,18,0,Shopping
2013-06,17,0,Shopping
2013-07,30,0,Shopping
2013-08,12,0,Shopping
2013-09,18,0,Shopping
2013-10,19,0,Shopping
2013-11,22,0,Shopping
2013-12,23,0,Shopping
2014-01,20,0,Shopping
2014-02,26,0,Shopping
2014-03,28,0,Shopping
2014-04,30,0,Shopping
2014-05,36,0,Shopping
2014-06,34,0,Shopping
2014-07,31,0,Shopping
2014-08,36,0,Shopping
2014-09,34,0,Shopping
2014-10,33,0,Shopping
2014-11,34,0,Shopping
2014-12,33,0,Shopping
2015-01,28,0,Shopping
2015-02,35,0,Shopping
2015-03,39,0,Shopping
2015-04,34,0,Shopping
2015-05,33,0,Shopping
2015-06,45,0,Shopping
2015-07,33,0,Shopping
2015-08,38,0,Shopping
2015-09,37,0,Shopping
2015-10,48,0,Shopping
2015-11,61,0,Shopping
2015-12,54,0,Shopping
2016-01,48,0,Shopping
2016-02,69,3,Shopping
2016-03,64,0,Shopping
2016-04,65,0,Shopping
2016-05,65,0,Shopping
2016-06,65,0,Shopping
2016-07,64,0,Shopping
2016-08,57,0,Shopping
2016-09,55,0,Shopping
2016-10,59,4,Shopping
2016-11,57,0,Shopping
2016-12,46,0,Shopping
2017-01,50,0,Shopping
2017-02,54,0,Shopping
2017-03,61,0,Shopping
2017-04,65,0,Shopping
2017-05,65,0,Shopping
2017-06,76,0,Shopping
2017-07,71,0,Shopping
2017-08,65,0,Shopping
2017-09,66,0,Shopping
2017-10,70,0,Shopping
2017-11,60,0,Shopping
2017-12,57,0,Shopping
2018-01,55,0,Shopping
2018-02,57,0,Shopping
2018-03,65,0,Shopping
2018-04,69,0,Shopping
2018-05,74,0,Shopping
2018-06,75,0,Shopping
2018-07,82,0,Shopping
2018-08,67,0,Shopping
2018-09,75,0,Shopping
2018-10,77,0,Shopping
2018-11,68,0,Shopping
2018-12,70,0,Shopping
2019-01,60,0,Shopping
2019-02,71,0,Shopping
2019-03,85,0,Shopping
2019-04,85,0,Shopping
2019-05,93,0,Shopping
2019-06,87,0,Shopping
2019-07,89,0,Shopping
2019-08,87,4,Shopping
2019-09,77,0,Shopping
2019-10,86,0,Shopping
2019-11,62,0,Shopping
2019-12,60,0,Shopping
2020-01,53,0,Shopping
2020-02,64,0,Shopping
2020-03,47,0,Shopping
2020-04,49,0,Shopping
2020-05,50,0,Shopping
2020-06,48,0,Shopping
2020-07,58,0,Shopping
2020-08,54,4,Shopping
2020-09,53,0,Shopping
2020-10,53,0,Shopping
2020-11,61,0,Shopping
2020-12,71,4,Shopping
2021-01,53,0,Shopping
2021-02,60,3,Shopping
2021-03,53,0,Shopping
2021-04,66,0,Shopping
2021-05,74,0,Shopping
2021-06,83,0,Shopping
2021-07,82,0,Shopping
2021-08,81,4,Shopping
2021-09,86,0,Shopping
2021-10,100,0,Shopping
2021-11,87,0,Shopping
2021-12,88,0,Shopping
2022-01,63,0,Shopping
2022-02,74,4,Shopping
2022-03,68,0,Shopping
2022-04,78,0,Shopping
2022-05,72,0,Shopping
2022-06,66,0,Shopping
2022-07,66,0,Shopping
2022-08,61,0,Shopping
2022-09,60,3,Shopping
2022-10,55,0,Shopping
2022-11,57,0,Shopping
2022-12,55,3,Shopping
2023-01,44,0,Shopping
2023-02,44,0,Shopping
2023-03,56,0,Shopping
2023-04,44,4,Shopping
2023-05,52,0,Shopping
2023-06,46,0,Shopping
2023-07,42,0,Shopping
2023-08,37,0,Shopping
2023-09,39,0,Shopping
2023-10,37,4,Shopping
2023-11,42,0,Shopping
2023-12,36,2,Shopping
2024-01,26,0,Shopping
2024-02,18,4,Shopping
2024-03,0,0,Shopping
2024-04,0,0,Shopping
2024-05,0,0,Shopping
2024-06,24,0,Shopping
2024-07,19,0,Shopping
2024-08,22,0,Shopping
2024-09,27,0,Shopping
2024-10,25,0,Shopping
2024-11,21,0,Shopping
2024-12,36,0,Shopping
2025-01,28,0,Shopping
2025-02,24,0,Shopping
2025-03,31,0,Shopping
2025-04,10,2,Shopping
