Month,Shein,Flohmarkt,Search_Type
2012-09,0,9,Youtube
2012-10,0,4,Youtube
2012-11,0,3,Youtube
2012-12,0,3,Youtube
2013-01,0,4,Youtube
2013-02,0,3,Youtube
2013-03,0,5,Youtube
2013-04,0,6,Youtube
2013-05,0,8,Youtube
2013-06,0,6,Youtube
2013-07,0,7,Youtube
2013-08,0,7,Youtube
2013-09,0,9,Youtube
2013-10,0,6,Youtube
2013-11,0,3,Youtube
2013-12,0,4,Youtube
2014-01,0,3,Youtube
2014-02,0,4,Youtube
2014-03,0,8,Youtube
2014-04,0,9,Youtube
2014-05,0,6,Youtube
2014-06,0,7,Youtube
2014-07,0,7,Youtube
2014-08,0,7,Youtube
2014-09,0,5,Youtube
2014-10,0,4,Youtube
2014-11,0,9,Youtube
2014-12,0,5,Youtube
2015-01,0,4,Youtube
2015-02,0,14,Youtube
2015-03,0,12,Youtube
2015-04,0,14,Youtube
2015-05,0,11,Youtube
2015-06,0,12,Youtube
2015-07,0,11,Youtube
2015-08,0,10,Youtube
2015-09,0,9,Youtube
2015-10,0,11,Youtube
2015-11,0,8,Youtube
2015-12,0,7,Youtube
2016-01,0,7,Youtube
2016-02,6,0,Youtube
2016-03,0,9,Youtube
2016-04,5,11,Youtube
2016-05,0,12,Youtube
2016-06,5,7,Youtube
2016-07,7,8,Youtube
2016-08,6,10,Youtube
2016-09,6,7,Youtube
2016-10,5,8,Youtube
2016-11,6,11,Youtube
2016-12,5,8,Youtube
2017-01,8,6,Youtube
2017-02,8,9,Youtube
2017-03,9,10,Youtube
2017-04,6,9,Youtube
2017-05,7,11,Youtube
2017-06,8,13,Youtube
2017-07,9,10,Youtube
2017-08,14,18,Youtube
2017-09,18,12,Youtube
2017-10,16,14,Youtube
2017-11,15,12,Youtube
2017-12,13,8,Youtube
2018-01,19,11,Youtube
2018-02,22,9,Youtube
2018-03,22,10,Youtube
2018-04,26,13,Youtube
2018-05,29,14,Youtube
2018-06,23,11,Youtube
2018-07,22,15,Youtube
2018-08,19,15,Youtube
2018-09,19,14,Youtube
2018-10,20,12,Youtube
2018-11,23,11,Youtube
2018-12,15,8,Youtube
2019-01,21,7,Youtube
2019-02,24,11,Youtube
2019-03,23,10,Youtube
2019-04,22,21,Youtube
2019-05,21,36,Youtube
2019-06,20,29,Youtube
2019-07,18,31,Youtube
2019-08,17,34,Youtube
2019-09,16,32,Youtube
2019-10,15,27,Youtube
2019-11,21,20,Youtube
2019-12,15,13,Youtube
2020-01,19,19,Youtube
2020-02,22,22,Youtube
2020-03,29,17,Youtube
2020-04,67,10,Youtube
2020-05,45,9,Youtube
2020-06,56,17,Youtube
2020-07,45,23,Youtube
2020-08,38,22,Youtube
2020-09,33,23,Youtube
2020-10,37,22,Youtube
2020-11,43,12,Youtube
2020-12,39,9,Youtube
2021-01,62,9,Youtube
2021-02,78,11,Youtube
2021-03,85,8,Youtube
2021-04,95,8,Youtube
2021-05,100,10,Youtube
2021-06,86,19,Youtube
2021-07,69,30,Youtube
2021-08,63,32,Youtube
2021-09,54,30,Youtube
2021-10,50,26,Youtube
2021-11,46,17,Youtube
2021-12,75,15,Youtube
2022-01,52,15,Youtube
2022-02,49,16,Youtube
2022-03,53,21,Youtube
2022-04,50,27,Youtube
2022-05,66,31,Youtube
2022-06,68,32,Youtube
2022-07,52,29,Youtube
2022-08,46,33,Youtube
2022-09,42,33,Youtube
2022-10,41,28,Youtube
2022-11,43,25,Youtube
2022-12,34,17,Youtube
2023-01,32,17,Youtube
2023-02,36,20,Youtube
2023-03,42,21,Youtube
2023-04,44,23,Youtube
2023-05,53,27,Youtube
2023-06,54,27,Youtube
2023-07,53,26,Youtube
2023-08,47,25,Youtube
2023-09,42,32,Youtube
2023-10,44,27,Youtube
2023-11,39,20,Youtube
2023-12,35,15,Youtube
2024-01,38,16,Youtube
2024-02,37,20,Youtube
2024-03,46,24,Youtube
2024-04,52,30,Youtube
2024-05,49,30,Youtube
2024-06,54,29,Youtube
2024-07,52,27,Youtube
2024-08,48,30,Youtube
2024-09,44,27,Youtube
2024-10,41,24,Youtube
2024-11,44,19,Youtube
2024-12,35,15,Youtube
2025-01,37,18,Youtube
2025-02,35,21,Youtube
2025-03,41,26,Youtube
2025-04,39,29,Youtube
